X,西药
X10.1.4,作用于DNA复制的拓扑异构酶Ⅰ抑制剂
X10.1.5,作用于微管蛋白合成的药物
X10.1.6,其他细胞毒药物
X10.2,激素类及抗激素类抗肿瘤药
X10.3,其他
X11,抗变态反应药物
X11.1,H1受体阻断药
X11.2,过敏介质阻释药
X12,神经系统用药物
X12.1,抗帕金森病药
X12.2,抗重症肌无力药
X12.3,抗癫痫药
X12.4,脑血管病用药
X12.5,中枢兴奋药
X12.6,镇静催眠药
X12.7,抗偏头痛药
X12.8,其他类
X13,治疗精神障碍药
X13.1,抗精神病药
X13.2,抗焦虑药
X13.3,抗抑郁药
X13.4,抗躁狂药
X14,呼吸系统药物
X14.1,祛痰药
X14.2,镇咳药
X14.3,平喘药
X15,消化系统药物
X15.1,抗酸药及抗溃疡病药
X15.1.1,抗酸药及胃粘膜保护药
X15.1.2,抑酸药
X15.1.2.1,H2受体阻断药
X15.1.2.2,质子泵抑制药
X15.2,助消化药
X15.3,胃肠解痉及胃动力药
X15.3.1,胃肠解痉药
X15.3.2,胃动力药和止吐药
X15.3.3,催吐药
X15.4,泻药、止泻药
X15.4.1,泻药
X15.4.2,止泻药
X15.5,肝病辅助治疗药
X15.6,利胆药
X15.7,肛肠科用药
X15.8,其他消化系统药物
X16,循环系统药物
X16.1,强心药
X16.1.1,洋地黄类
X16.1.2,其他
X16.2,抗心律失常药
X16.3,利尿降压药
X16.4,钙拮抗药
X16.5,β受体阻滞药
X16.6,作用于a受体的药物
X16.7,血管紧张素转换酶抑制药
X16.8,血管紧张素II受体拮抗药
X16.9,其他血管舒张药
X16.10,抗休克血管活性药及改善心脑循环药
X16.11,调血脂药
X16.12,其他药物
X17,泌尿系统药物
X17.1,利尿药
X17.2,脱水药
X17.3,前列腺疾病用药
X17.4,其他
X18,血液系统药物
X18.1,止血药
X18.2,抗凝血药及溶栓药
X18.2.1,抗凝血药
X18.2.2,溶栓药
X18.3,血浆及血容量扩充药
X18.4,抗贫血药
X18.4.1,铁剂
X18.4.2,其他
X18.5,升白细胞药
X18.6,抗血小板药
X19,调节水、电解质及酸碱平衡药物
X20,专科用药
X20.1,皮肤科外用药
X20.1.1,抗感染药
X20.1.1.1,抗细菌感染药
X20.1.1.2,抗真菌感染药
X20.1.1.3,抗其他感染药
X20.1.2,角质促成剂及溶解药
X20.1.3,肾上腺皮质激素类药物
X20.1.4,其他
X20.2,眼科用药
X20.2.1,抗感染药
X20.2.1.1,抗细菌感染药
X20.2.1.2,抗病毒感染药
X20.2.1.3,抗真菌感染药
X20.2.2,抗青光眼药
X20.2.3,肾上腺皮质激素类药物
X20.2.4,其他
X20.3,耳鼻喉科用药
X20.4,口腔科用药
X20.5,妇产科用药
X20.5.1,子宫收缩药
X20.5.2,局部抗感染药
X20.5.3,其他
X20.6,放射性同位素药
X21,解毒药
X21.1,重金属、类金属中毒解毒药
X21.2,氰化物中毒解毒药
X21.3,有机磷酸酯类解毒药
X21.4,其他解毒药
X22,诊断用药物
X22.1,造影剂
X22.1.1,一般造影剂
X22.1.2,非离子型造影剂
X22.1.3,离子型造影剂
X22.1.4,特殊造影剂
X22.1.5,胆道造影剂
X22.2,其他
X23,生物制品
X24,其他
Z,中药
Z01,内科用药
Z01.1,解表剂
Z01.1.1,辛温解表剂
Z01.1.2,辛凉解表剂
Z01.1.3,表里双解剂
Z01.1.4,扶正解表
Z01.2,泻下剂
Z01.3,清热剂
Z01.3.1,清热泻火剂
Z01.3.2,清热解毒剂
Z01.3.3,清热祛暑剂
Z01.3.4,清脏腑热剂
Z01.3.4.1,清热理肺剂
Z01.3.4.2,清肝解毒剂
Z01.3.4.3,清肝胆湿热剂
Z01.3.4.4,清利肠胃湿热剂
Z01.4,温里剂
Z01.4.1,温中散寒剂
Z01.4.1.1,温中散寒
Z01.4.1.2,温中除湿
Z01.4.2,回阳救逆
Z01.4.3,益气复脉
Z01.5,化痰、止咳、平喘剂
Z01.5.1,温化寒痰剂
Z01.5.2,理肺止咳剂
Z01.5.3,清热化痰剂
Z01.5.4,润肺化痰剂
Z01.5.5,平喘剂
Z01.6,开窍剂
Z01.6.1,清热开窍剂
Z01.6.2,芳香、化痰开窍剂
Z01.7,固涩剂
Z01.7.1,固精止遗
Z01.7.2,固涩止泻
Z01.8,扶正剂
Z01.8.1,补气剂
Z01.8.1.1,健脾益气
Z01.8.1.2,健脾和胃
Z01.8.2,养血剂
Z01.8.3,滋阴剂
Z01.8.3.1,滋补肾阴
Z01.8.3.2,滋补心肺
Z01.8.3.3,滋补肝肾
Z01.8.4,温阳剂
Z01.8.5,阴阳双补
Z01.8.6,气血双补
Z01.8.7,益气养阴
Z01.9,安神剂
Z01.9.1,养心安神
Z01.9.2,益气养血安神
Z01.9.3,清肝安神
Z01.9.4,补肾安神
Z01.9.5,重镇安神
Z01.10,止血剂
Z01.11,祛瘀剂
Z01.11.1,益气活血
Z01.11.2,养血活血
Z01.11.3,温阳活血
Z01.11.4,滋阴活血
Z01.11.5,补肾活血
Z01.11.6,化瘀宽胸
Z01.11.7,化瘀通脉
Z01.11.8,活血消�
Z01.11.9,祛瘀化痰
Z01.12,理气剂
Z01.12.1,疏肝解郁剂
Z01.12.2,疏肝和胃剂
Z01.13,消导剂
Z01.14,治风剂
Z01.14.1,疏散外风
Z01.14.2,平肝熄风
Z01.14.3,平肝潜阳
Z01.14.4,化瘀祛风
Z01.14.5,养血祛风
Z01.14.6,祛风通络
Z01.15,祛湿剂
Z01.15.1,散寒除湿
Z01.15.2,清热除湿
Z01.15.3,祛风除湿
Z01.15.4,化瘀祛湿
Z01.15.5,消肿利水
Z01.15.6,清热通淋
Z01.15.7,化瘀通淋
Z01.15.8,扶正祛湿
Z01.16,化浊降脂
Z02,外科用药
Z02.1,清热剂
Z02.1.1,清利肝胆剂
Z02.1.2,清热解毒剂
Z02.1.3,清热利湿剂
Z02.1.4,通淋消石剂
Z02.2,温经理气活血剂
Z03,肿瘤用药
Z03.1,抗肿瘤药
Z03.2,肿瘤辅助用药
Z04,妇科用药
Z04.1,理血剂
Z04.1.1,理气养血剂
Z04.1.2,活血化瘀剂
Z04.1.3,止血剂
Z04.2,清热剂
Z04.2.1,内服药
Z04.2.2,外用药
Z04.3,扶正剂
Z04.4,消肿散结
Z05,眼科用药
Z05.1,清热剂
Z05.2,扶正剂
Z06,耳鼻喉科用药
Z06.1,耳病
Z06.2,鼻病
Z06.3,咽喉病
Z06.4,牙病
Z07,骨伤科用药
Z07.1,活血化瘀剂
Z07.1.1,内服药
Z07.1.2,外用药
Z07.2,活血通络剂
Z07.2.1,内服药
Z07.2.2,外用药
Z07.3,补肾壮骨剂
Z08,皮肤科用药
Z09,民族药
